Timestamp,Solar Altitude,Solar Azimuth,Solar Incidence
2010-01-05 08:10:00,7.914766,134.438264,35.995831
2010-01-05 09:10:00,14.547964,146.831245,48.636634
2010-01-05 10:10:00,19.194001,160.462203,59.521781
2010-01-05 11:10:00,21.416519,175.034031,66.065116
2010-01-05 12:10:00,20.967824,189.875831,64.626377
2010-01-05 13:10:00,17.900241,204.193722,56.213189
2010-01-05 14:10:00,12.540902,217.426015,44.562102
2010-01-05 15:10:00,5.354631,229.409056,31.605082
2010-01-05 16:10:00,-3.190226,240.308626,0
2010-01-05 17:10:00,-12.686994,250.486598,0
2010-01-05 18:10:00,-22.794447,260.431435,0
2010-01-05 19:10:00,-33.203904,270.791243,0
2010-01-05 20:10:00,-43.573916,282.53972,0
2010-01-05 21:10:00,-53.396434,297.361692,0
2010-01-05 22:10:00,-61.685549,318.249435,0
2010-01-05 23:10:00,-66.45336,348.362351,0
2010-01-06 00:10:00,-65.344496,22.345696,0
2010-01-06 01:10:00,-59.160261,49.318784,0
2010-01-06 02:10:00,-50.225452,67.818655,0
2010-01-06 03:10:00,-40.155033,81.40147,0
2010-01-06 04:10:00,-29.729503,92.571738,0
2010-01-06 05:10:00,-19.38184,102.721029,0
2010-01-06 06:10:00,-9.433698,112.688862,0
2010-01-06 07:10:00,-0.199612,123.06215,0
2010-01-06 08:10:00,7.959451,134.291595,35.939996
2010-01-06 09:10:00,14.612951,146.689286,48.608718
2010-01-06 10:10:00,19.281359,160.330482,59.5408
2010-01-06 11:10:00,21.525782,174.920512,66.156944
2010-01-06 12:10:00,21.095516,189.787529,64.772153
2010-01-06 13:10:00,18.040907,204.133226,56.363222
2010-01-06 14:10:00,12.689016,217.391104,44.700753
2010-01-06 15:10:00,5.505968,229.39501,31.731328
2010-01-06 16:10:00,-3.038257,240.310555,0
2010-01-06 17:10:00,-12.535616,250.500465,0
2010-01-06 18:10:00,-22.643891,260.45395,0
2010-01-06 19:10:00,-33.053693,270.818864,0
2010-01-06 20:10:00,-43.423136,282.566012,0
2010-01-06 21:10:00,-53.244531,297.369887,0
2010-01-06 22:10:00,-61.535902,318.193625,0
2010-01-06 23:10:00,-66.323656,348.164576,0
2010-01-07 00:10:00,-65.253763,22.039441,0
2010-01-07 01:10:00,-59.114156,49.026473,0
2010-01-07 02:10:00,-50.204592,67.575675,0
2010-01-07 03:10:00,-40.144943,81.196653,0
2010-01-07 04:10:00,-29.721299,92.391336,0
2010-01-07 05:10:00,-19.369516,102.555247,0
2010-01-07 06:10:00,-9.412502,112.531297,0
2010-01-07 07:10:00,-0.165269,122.909077,0
2010-01-07 08:10:00,8.010961,134.141964,35.887454
2010-01-07 09:10:00,14.685072,146.545289,48.585079
2010-01-07 10:10:00,19.376059,160.197941,59.565394
2010-01-07 11:10:00,21.642391,174.807656,66.255644
2010-01-07 12:10:00,21.230295,189.701439,64.924085
2010-01-07 13:10:00,18.188158,204.076296,56.517049
2010-01-07 14:10:00,12.843079,217.36077,44.841353
2010-01-07 15:10:00,5.662603,229.386241,31.85828
2010-01-07 16:10:00,-2.881568,240.318276,0
2010-01-07 17:10:00,-12.379974,250.520588,0
2010-01-07 18:10:00,-22.489366,260.48326,0
2010-01-07 19:10:00,-32.899608,270.853995,0
2010-01-07 20:10:00,-43.268311,282.600794,0
2010-01-07 21:10:00,-53.088021,297.387804,0
2010-01-07 22:10:00,-61.38052,318.148383,0
2010-01-07 23:10:00,-66.186641,347.974827,0
2010-01-08 00:10:00,-65.155026,21.733561,0
2010-01-08 01:10:00,-59.060611,48.729105,0
2010-01-08 02:10:00,-50.177032,67.326523,0
2010-01-08 03:10:00,-40.128603,80.985992,0
2010-01-08 04:10:00,-29.70702,92.205675,0
2010-01-08 05:10:00,-19.351097,102.384779,0
2010-01-08 06:10:00,-9.385053,112.369591,0
2010-01-08 07:10:00,-0.124416,122.752437,0
2010-01-08 08:10:00,8.069288,133.989459,35.838222
2010-01-08 09:10:00,14.764305,146.399332,48.565705
2010-01-08 10:10:00,19.478065,160.064655,59.595517
2010-01-08 11:10:00,21.766298,174.695534,66.361165
2010-01-08 12:10:00,21.372096,189.617627,65.082106
2010-01-08 13:10:00,18.34192,204.022991,56.67456
2010-01-08 14:10:00,13.003008,217.335062,44.983781
2010-01-08 15:10:00,5.824445,229.382783,31.985826
2010-01-08 16:10:00,-2.720254,240.331804,0
2010-01-08 17:10:00,-12.22016,250.54697,0
2010-01-08 18:10:00,-22.330962,260.519349,0
2010-01-08 19:10:00,-32.741739,270.896601,0
2010-01-08 20:10:00,-43.109528,282.644009,0
2010-01-08 21:10:00,-52.926994,297.415364,0
2010-01-08 22:10:00,-61.219502,318.113656,0
2010-01-08 23:10:00,-66.042411,347.793299,0
2010-01-09 00:10:00,-65.048318,21.428531,0
2010-01-09 01:10:00,-58.999596,48.427077,0
2010-01-09 02:10:00,-50.142723,67.071461,0
2010-01-09 03:10:00,-40.105965,80.769672,0
2010-01-09 04:10:00,-29.686629,92.014901,0
2010-01-09 05:10:00,-19.326557,102.20975,0
2010-01-09 06:10:00,-9.351333,112.203853,0
2010-01-09 07:10:00,-0.077051,122.592328,0
2010-01-09 08:10:00,8.134417,133.834168,35.792318
2010-01-09 09:10:00,14.850621,146.251497,48.55058
2010-01-09 10:10:00,19.587334,159.930699,59.631118
2010-01-09 11:10:00,21.897447,174.584215,66.473453
2010-01-09 12:10:00,21.520853,189.536162,65.246147
2010-01-09 13:10:00,18.502113,203.973373,56.835638
2010-01-09 14:10:00,13.168713,217.314029,45.127912
2010-01-09 15:10:00,5.991402,229.384668,32.113851
2010-01-09 16:10:00,-2.55441,240.351157,0
2010-01-09 17:10:00,-12.05627,250.579608,0
2010-01-09 18:10:00,-22.168773,260.562198,0
2010-01-09 19:10:00,-32.580174,270.946644,0
2010-01-09 20:10:00,-42.946874,282.695594,0
2010-01-09 21:10:00,-52.761538,297.452477,0
2010-01-09 22:10:00,-61.052947,318.089373,0
2010-01-09 23:10:00,-65.891063,347.620163,0
2010-01-10 00:10:00,-64.93368,21.124817,0
2010-01-10 01:10:00,-58.931086,48.120794,0
2010-01-10 02:10:00,-50.101621,66.810761,0
2010-01-10 03:10:00,-40.076983,80.547885,0
2010-01-10 04:10:00,-29.660087,91.819163,0
2010-01-10 05:10:00,-19.295868,102.030282,0
2010-01-10 06:10:00,-9.311332,112.034193,0
2010-01-10 07:10:00,-0.023178,122.428848,0
2010-01-10 08:10:00,8.206334,133.67618,35.749756
2010-01-10 09:10:00,14.94399,146.101864,48.539684
2010-01-10 10:10:00,19.703824,159.796147,59.672143
2010-01-10 11:10:00,22.035783,174.473771,66.592452
2010-01-10 12:10:00,21.676498,189.457109,65.416133
2010-01-10 13:10:00,18.668659,203.927499,57.00016
2010-01-10 14:10:00,13.340107,217.297716,45.273618
2010-01-10 15:10:00,6.163378,229.391928,32.242239
2010-01-10 16:10:00,-2.384132,240.376347,0
2010-01-10 17:10:00,-11.8884,250.6185,0
2010-01-10 18:10:00,-22.002892,260.611786,0
2010-01-10 19:10:00,-32.415003,271.00408,0
2010-01-10 20:10:00,-42.780438,282.75548,0
2010-01-10 21:10:00,-52.591742,297.499048,0
2010-01-10 22:10:00,-60.880952,318.075452,0
2010-01-10 23:10:00,-65.732697,347.455567,0
2010-01-11 00:10:00,-64.811157,20.822873,0
2010-01-11 01:10:00,-58.855061,47.810666,0
2010-01-11 02:10:00,-50.053684,66.544702,0
2010-01-11 03:10:00,-40.041617,80.320831,0
2010-01-11 04:10:00,-29.627362,91.618616,0
2010-01-11 05:10:00,-19.259009,101.846506,0
2010-01-11 06:10:00,-9.265041,111.860722,0
2010-01-11 07:10:00,0.037201,122.262098,0
2010-01-11 08:10:00,8.285019,133.515587,35.710546
2010-01-11 09:10:00,15.04438,145.950516,48.532996
2010-01-11 10:10:00,19.827488,159.661073,59.718537
2010-01-11 11:10:00,22.181246,174.364272,66.718102
2010-01-11 12:10:00,21.838958,189.380535,65.591986
2010-01-11 13:10:00,18.841472,203.88543,57.167999
2010-01-11 14:10:00,13.517096,217.28617,45.420767
2010-01-11 15:10:00,6.340276,229.40459,32.370869
2010-01-11 16:10:00,-2.20952,240.407387,0
2010-01-11 17:10:00,-11.716647,250.663637,0
2010-01-11 18:10:00,-21.833412,260.668086,0
2010-01-11 19:10:00,-32.246318,271.068861,0
2010-01-11 20:10:00,-42.610305,282.823593,0
2010-01-11 21:10:00,-52.417695,297.554971,0
2010-01-11 22:10:00,-60.703616,318.071796,0
2010-01-11 23:10:00,-65.567416,347.299634,0
2010-01-12 00:10:00,-64.680801,20.523137,0
2010-01-12 01:10:00,-58.771509,47.497105,0
2010-01-12 02:10:00,-49.998873,66.273567,0
2010-01-12 03:10:00,-39.999828,80.08871,0
2010-01-12 04:10:00,-29.588421,91.413416,0
2010-01-12 05:10:00,-19.215961,101.658551,0
2010-01-12 06:10:00,-9.212451,111.683554,0
2010-01-12 07:10:00,0.104077,122.092178,0
2010-01-12 08:10:00,8.370451,133.352477,35.6747
2010-01-12 09:10:00,15.151755,145.797533,48.53049
2010-01-12 10:10:00,19.958276,159.525551,59.770238
2010-01-12 11:10:00,22.333773,174.255786,66.85034
2010-01-12 12:10:00,22.008158,189.306505,65.773624
2010-01-12 13:10:00,19.020466,203.847223,57.339023
2010-01-12 14:10:00,13.699585,217.279435,45.569223
2010-01-12 15:10:00,6.521995,229.422683,32.499623
2010-01-12 16:10:00,-2.030675,240.444283,0
2010-01-12 17:10:00,-11.54111,250.71501,0
2010-01-12 18:10:00,-21.66043,260.731068,0
2010-01-12 19:10:00,-32.074207,271.140937,0
2010-01-12 20:10:00,-42.436563,282.899854,0
2010-01-12 21:10:00,-52.239484,297.620137,0
2010-01-12 22:10:00,-60.521037,318.078296,0
