 Longitude, Latitude,Time,Zone,Local Time,Local Zone, Timing, Declination, Hour Angle, Positioning, Zenith, Altitude, Azimuth,Incidence,Units
8.627626,45.812233,2020-01-01 00:00:00,UTC,0,UTC,NOAA,-23.058629169260467,-172.1,NOAA,156.35849273756978,-66.35849273756978,18.410041916526534,0.0,degrees
8.627626,45.812233,2020-01-01 01:00:00,UTC,1,UTC,NOAA,-23.058629169260467,-157.1,NOAA,150.6454792627613,-60.6454792627613,46.93330514019274,0.0,degrees
8.627626,45.812233,2020-01-01 02:00:00,UTC,2,UTC,NOAA,-23.058629169260467,-142.1,NOAA,141.89326505499216,-51.89326505499216,66.34972111953795,0.0,degrees
8.627626,45.812233,2020-01-01 03:00:00,UTC,3,UTC,NOAA,-23.058629169260467,-127.10000000000001,NOAA,131.88370451060197,-41.88370451060198,80.34285628507779,0.0,degrees
8.627626,45.812233,2020-01-01 04:00:00,UTC,4,UTC,NOAA,-23.058629169260467,-112.1,NOAA,121.46610217563988,-31.466102175639882,91.67445513764733,0.0,degrees
8.627626,45.812233,2020-01-01 05:00:00,UTC,5,UTC,NOAA,-23.058629169260467,-97.1,NOAA,111.09269685466298,-21.09269685466298,101.85696399400801,0.0,degrees
8.627626,45.812233,2020-01-01 06:00:00,UTC,6,UTC,NOAA,-23.058629169260467,-82.1,NOAA,101.08137592291409,-11.081375922914098,111.78468293221404,7.585345766181466,degrees
8.627626,45.812233,2020-01-01 07:00:00,UTC,7,UTC,NOAA,-23.058629169260467,-67.1,NOAA,91.60926545712634,-1.6092654571263372,122.22534719292041,21.318433729423088,degrees
8.627626,45.812233,2020-01-01 08:00:00,UTC,8,UTC,NOAA,-23.058629169260467,-52.099999999999994,NOAA,83.37593014010277,6.624069859897235,133.24956953585843,34.79919547671904,degrees
8.627626,45.812233,2020-01-01 09:00:00,UTC,9,UTC,NOAA,-23.058629169260467,-37.099999999999994,NOAA,76.59759337068147,13.402406629318534,145.36553017788574,47.67514614064462,degrees
8.627626,45.812233,2020-01-01 10:00:00,UTC,10,UTC,NOAA,-23.058629169260467,-22.099999999999998,NOAA,71.69025463607996,18.309745363920047,158.79978625678558,59.08938740081936,degrees
8.627626,45.812233,2020-01-01 11:00:00,UTC,11,UTC,NOAA,-23.058629169260467,-7.099999999999994,NOAA,69.13055416282953,20.86944583717047,173.5157409578649,66.70916035994046,degrees
8.627626,45.812233,2020-01-01 12:00:00,UTC,12,UTC,NOAA,-23.058629169260467,7.900000000000007,NOAA,69.20202991989498,20.797970080105024,172.67921759633526,66.46738038514043,degrees
8.627626,45.812233,2020-01-01 13:00:00,UTC,13,UTC,NOAA,-23.055486859117952,22.895833333333346,NOAA,71.89220908583171,18.10779091416829,158.05481886232977,58.550355228489344,degrees
8.627626,45.812233,2020-01-01 14:00:00,UTC,14,UTC,NOAA,-23.052331323780706,37.89166666666668,NOAA,76.9077568770531,13.0922431229469,144.68954836787006,47.02354086948427,degrees
8.627626,45.812233,2020-01-01 15:00:00,UTC,15,UTC,NOAA,-23.0491625657284,52.887499999999996,NOAA,83.76417789556605,6.235822104433946,132.64598979586404,34.104762540561566,degrees
8.627626,45.812233,2020-01-01 16:00:00,UTC,16,UTC,NOAA,-23.04598058745159,67.87916666666666,NOAA,92.09866282045805,-2.098662820458047,121.62233364343369,20.611081822718823,degrees
8.627626,45.812233,2020-01-01 17:00:00,UTC,17,UTC,NOAA,-23.042785391451726,82.875,NOAA,101.57404100268026,-11.574041002680257,111.25584795353343,6.873360137508125,degrees
8.627626,45.812233,2020-01-01 18:00:00,UTC,18,UTC,NOAA,-23.039576980241122,97.87083333333334,NOAA,111.60665813095942,-21.606658130959424,101.33085006364111,0.0,degrees
8.627626,45.812233,2020-01-01 19:00:00,UTC,19,UTC,NOAA,-23.03635535634298,112.86666666666667,NOAA,121.98596150938869,-31.985961509388684,91.11271632238441,0.0,degrees
8.627626,45.812233,2020-01-01 20:00:00,UTC,20,UTC,NOAA,-23.033120522291345,127.86250000000003,NOAA,132.39023670878694,-42.390236708786944,79.68693711670583,0.0,degrees
8.627626,45.812233,2020-01-01 21:00:00,UTC,21,UTC,NOAA,-23.029872480631145,142.85833333333335,NOAA,142.3551191160623,-52.3551191160623,65.49623971042897,0.0,degrees
8.627626,45.812233,2020-01-01 22:00:00,UTC,22,UTC,NOAA,-23.026611233918153,157.85416666666669,NOAA,150.9988421321796,-60.998842132179576,45.70642439298954,0.0,degrees
8.627626,45.812233,2020-01-01 23:00:00,UTC,23,UTC,NOAA,-23.02333678471901,172.85000000000002,NOAA,156.48164857661212,-66.48164857661212,16.71254998479263,0.0,degrees
8.627626,45.812233,2020-01-02 00:00:00,UTC,24,UTC,NOAA,-23.020049135611178,-172.15833333333333,NOAA,156.33378967429468,-66.33378967429468,18.25742547754484,0.0,degrees
